subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
AluYa8	Alu	sense	86	334	-0.570584	-0.330097	-0.240488	0.383721	0.46358	0.33798	0.373492
L1M3de	L1	antisense	81	462	-2.00054	-1.75928	-0.241257	0.0987654	1.1324	0.0755026	0.0921535
AluYc	Alu	sense	2140	8336	-0.57622	-0.330097	-0.246123	0.410748	0.816629	2.1374e-05	3.50487e-05
AluYk12	Alu	sense	42	220	-0.576602	-0.330097	-0.246506	0.380952	0.721103	0.360337	0.395334
L1MA4	L1	antisense	1654	9955	-2.00598	-1.75928	-0.246704	0.10399	1.31992	7.24391e-19	2.08433e-18
L1M5	L1	sense	10969	63753	-0.578872	-0.330097	-0.248775	0.398213	1.27126	2.28669e-31	1.02565e-30
L1PB2	L1	antisense	440	2828	-2.00836	-1.75928	-0.249077	0.0795455	1.29433	3.60698e-06	6.35912e-06
L1PA10	L1	antisense	975	7044	-2.01202	-1.75928	-0.252741	0.08	1.08702	1.93309e-11	4.43303e-11
L1MB5	L1	antisense	2463	9758	-2.01335	-1.75928	-0.254067	0.113276	2.12096	7.17257e-22	2.27878e-21
L1ME3D	L1	antisense	896	4507	-2.01942	-1.75928	-0.260141	0.118304	1.75952	1.32476e-07	2.57358e-07
L1MA5A	L1	antisense	646	3406	-2.02302	-1.75928	-0.263737	0.0959752	1.60686	2.72061e-09	5.8027e-09
L1ME3B	L1	antisense	1879	8253	-2.03281	-1.75928	-0.273527	0.118148	2.10191	3.14917e-17	8.73178e-17
AluJo	Alu	sense	20540	71274	-0.603802	-0.330097	-0.273705	0.375463	1.55816	1.28862e-69	1.31009e-68
L1ME4a	L1	antisense	9841	42873	-2.0359	-1.75928	-0.276618	0.14277	1.61676	8.71676e-71	9.49504e-70
L1MB7	L1	antisense	6230	22924	-2.03824	-1.75928	-0.278962	0.105778	2.20444	1.43818e-70	1.51257e-69
L1ME3E	L1	antisense	1046	4922	-2.03835	-1.75928	-0.279072	0.130975	1.69923	8.40714e-08	1.6437e-07
L1MB8	L1	antisense	4376	16461	-2.0437	-1.75928	-0.284419	0.107861	2.00686	5.51278e-50	3.91022e-49
L1MB4	L1	antisense	2426	9161	-2.06096	-1.75928	-0.301679	0.116653	2.04431	2.87463e-28	1.09595e-27
L1MC4	L1	antisense	8293	29055	-2.06463	-1.75928	-0.305351	0.106717	2.40646	8.16392e-105	1.31052e-103
L1PA8A	L1	antisense	336	2466	-2.06641	-1.75928	-0.30713	0.0952381	1.33609	4.01959e-05	6.3522e-05
AluJr	Alu	sense	21648	76315	-0.637453	-0.330097	-0.307356	0.368579	1.47213	5.05807e-84	6.42796e-83
L1MD1	L1	antisense	1365	6800	-2.06927	-1.75928	-0.309995	0.0849817	2.0091	6.13209e-21	1.88918e-20
L1MC	L1	sense	1821	11821	-0.643463	-0.330097	-0.313366	0.395387	1.2077	9.50073e-09	1.95792e-08
AluJr4	Alu	sense	4853	17432	-0.644161	-0.330097	-0.314064	0.363693	1.68976	1.53258e-24	5.43531e-24
L1MA7	L1	antisense	1261	8439	-2.07391	-1.75928	-0.314629	0.0975416	1.37804	4.36084e-17	1.19825e-16
L1MC1	L1	antisense	2630	13054	-2.07424	-1.75928	-0.314964	0.0855513	1.83654	6.647e-41	3.82516e-40
